Brand	Model	SystemVersion	RAM	Resolution	CPU	CPU Core Count
谷歌	Pixel 3 XL	9.0	4	1080x2160	骁龙845	8
小米	redmi 9	10.0	4	1080x2340	联发科 Helio G80	8
华为	JSN-AL00a	10.0	4	1080x2340	Hisilicon Kirin710	8
华为	SEA-AL10	10.0	8	1080x2340	Hisilicon Kirin980	8
VIVO	vivo X9i	7.1	4	1080x1920	Qualcomm Technologies, Inc MSM8953	8
华为	LND-AL30	8.0	3	1440x720	msm8953	8
华为	HMA-AL00	10.0	6	1080x2244	Hisilicon Kirin980	8
华为	HRY-LX1T	10.0	4	1080x2340	Hisilicon Kirin710	8
华为	MRD-AL00	9.0	3	1560x720	MT6765	8
华硕	rog_phone3	10.0	12	1080x1920	Qualcomm Snapdragon 865 PLUS SM8250	8
VIVO	V1913A	9.0	6	1080x2340	MT6768V/CA	8
三星	SM-M3070	10.0	6	1080x2340	exynos9611	8
华为	BLA-AL00	10.0	6	1080x2160	Hisilicon Kirin970	8
OPPO	PACT00	9.0	6	1080x2280	MT6771V/C	8
华为	RVL-AL09	8.1	6	1080x2220	HiSiLiKirin970	8
华为	NEM-TL00	6.0	2	1080x1920	hi6250	8
三星	SM-G9300	8.0	4	1440x2560	Qualcomm Technologies, Inc MSM8996	4
三星	SM-G610F	7.0	3	1080x1920	samsungexynos7870	8
华为	FIG-AL00	9.0	3	1080x2160	hi6250	8
华为	AQM-AL00	10.0	6	1080x2400	Hisilicon Kirin710	8
OPPO	PCHM30	9.0	8	1600x720	Qualcomm Technologies, Inc SDM665	8
一加	ONEPLUS A6010	9.0	8	1080x2340	Qualcomm Technologies, Inc SDM845	8
华为	GLK-AL00	10.0	6	1080x2310	Hisilicon Kirin710	8
小米	MIX 2	7.1	6	1080x2160	Qualcomm Technologies, Inc MSM8998	8
VIVO	V1928A	9.0	4	1544x720	Qualcomm Technologies, Inc TRINKET	8
华为	BLN-AL10	8.0	3	1080x1920	hi6250	8
真我	RMX1971	10.0	8	1080x2340	Qualcomm Technologies, Inc SDM712	8
三星	SM-A5070	9.0	6	1080x2340	exynos9611	8
华为	PRA-AL00	7.0	3	1080x1920	麒麟655	8
三星	SM-A7070	9.0	8	1080x2400	Qualcomm Technologies, Inc SM6150	8
华为	NZA-ALOO	10.0	6	1600x720	联发科6765	8
华为	HUAWEI RIO-TL00	6.0	2	1080x1920	msm8916	8
小米	MI 9	9.0	8	1080x2340	Qualcomm Technologies, Inc SM8150	8
谷歌	Pixel 3	9.0	4	1080x2160	骁龙778G	8
华为	WAS-TL10	8.0	4	1080x1920	hi6250	8
VIVO	vivo X9Plus	7.1	6	1080x1920	Qualcomm Technologies, Inc MSM8976SG	8
VIVO	V1932A	10.0	8	1080x2400	Qualcomm Technologies, Inc SDM712	8
华硕	ASUS_X00QD	9.0	4	1080x2246	Qualcomm Technologies, Inc SDM636	8
VIVO	V1730EA	8.1	4	1080x2280	Qualcomm Technologies, Inc 626	8
VIVO	vivo Z3x	9.0	6	1080x2280	Qualcomm Technologies, Inc SDM660	8
华为	HRY-AL00Ta	10.0	6	1080x2340	Hisilicon Kirin710	8
OPPO	PCEM00	9.0	6	1080x2340	MT6771V/CT	8
华为	BLN-AL30	7.0	3	1080x1920	hi6250	8
华为	JMM-AL00	7.0	3	1280x720	MT6750V/C	8
华为	VIE-AL10	8.0	4	1080x1920	hi3650	8
华为	KIW-AL10	6.0	3	1080x1920	Qualcomm MSM 8939 HUAWEI KIW-AL10	8
OPPO	CPH1819	8.1	4	1080x2280	MT6771V/C	8
华为	BLN-TL10	8.0	3	1080x1920	hi6250	8
华为	GLK-AL00	10.0	6	1080x2310	Hisilicon Kirin710	8
VIVO	V1818A	8.1	3	1520x720	Qualcomm Technologies, Inc SDM439	8
华为	DUB-AL00	8.1	3	1520x720	Qualcomm Technologies, Inc SDM450	8
VIVO	V1965A	10.0	8	1080x2340	Qualcomm Technologies, Inc SM6125	8
VIVO	vivo 1716	8.1	4	1440x720	Qualcomm Technologies, Inc 450	8
VIVO	vivo Y85	8.1	4	1080x2280	Qualcomm Technologies, Inc 450	8
黑鲨	SKW-A0	9.0	12	1080x2340	Qualcomm Technologies, Inc SM8150	8
VIVO	vivo Y75s	8.1	4	1440x720	Qualcomm Technologies, Inc 450	8
小米	MI MAX	7.0	3	1080x1920	骁龙660	8
VIVO	V1816A	9.0	6	1080x2340	Qualcomm Technologies, Inc SDM660	8
OPPO	OPPO R11 Plus	8.1	6	1080x1920	Qualcomm Technologies, Inc SDM660	8
VIVO	vivo Z1i	9.0	4	1080x2280	Qualcomm Technologies, Inc SDM636	8
华为	MED-TL00	10.0	4	1600x720	MT6765V/CB	8
魅族	Meizu M5	6.0	3	1280x720	MT6750	4
华为	JAT-AL00	9.0	3	1560x720	MT6765	8
华为	MHA-AL00	8.0	6	1080x1920	hi3660	8
华为	JKM-AL00	9.0	4	1080x2340	kirin710	8
华为	HLK-AL10	10.0	8	1080x2340	Hisilicon Kirin810	8
华为	JNY-AL10	HarmonyOS 2.0	8	1080x2310	Hisilicon Kirin810	8
努比亚	NX619J	9.0	8	1080x2160	Qualcomm Technologies, Inc SDM845	8
华为	COR-AL10	9.0	6	1080x2340	kirin970	8
华为	VCE-AL00	10.0	8	1080x2310	Hisilicon Kirin970	8
魅族	Note9	9.0	4	1080x2244	Qualcomm Technologies, Inc SM6150	8
一加	GM1910	10.0	6	1080x2340	Qualcomm Technologies, Inc SM8150	8
魅族	PRO 7 Plus	7.0	6	1440x2560	mt6799	1
华为	POT-AL00a	10.0	6	1080x2340	Hisilicon Kirin710	8
联想	Lenovo L78031	9.0	6	1080x2340	Qualcomm Technologies, Inc SDM710	8
努比亚	NX629J	9.0	6	1080x2340	Qualcomm Technologies, Inc SM8150	8
华为	CLT-AL01	9.0	6	1080x2240	kirin970	8
华为	HUAWEI CAZ-AL10	7.0	4	1080x1920		8
魅族	16 X	8.1	6	1080x2160		8
小米	MI CC 9	9.0	6	1080x2340	Qualcomm Technologies, Inc SDM710	8
华为	LDN-AL00	8.0	4	1440x720	麒麟625	8
华为	CAM-AL00	6.0	2	1280x720	Qualcomm Technologies, Inc. MSM8952 QRD SKUM	8
华为	EVA-AL10	8.0	4	1080x1920	hi3650	8
三星	SM-A505FN	10.0	4	1080x2340	exynos9610	8
OPPO	PCKM80	10.0	8	1080x2340	MT6779V/CU	8
华为	BND-AL10	9.0	4	1080x2160	hi6250	8
小米	Redmi 6A	8.1	2	1440x720	mt6762m	4
OPPO	PCDM10	10.0	8	1080x2340	MT6779V/CU	8
三星	SM-A7000	6.0	2	1080x1920	Qualcomm Technologies, Inc MSM8939	8
华为	MHA-TL00	9.0	4	1080x1920	hi3660	8
真我	RMX2142	10.0	6	1080x2400	Qualcomm Technologies, Inc SDM765G 5G	8
VIVO	V1818CA	8.1	4	1520x720	MT6762V/CA	8
OPPO	PAAM00	9.0	6	1080x2280	Qualcomm Technologies, Inc SDM660	8
VIVO	V1813BA	9.0	4	1080x2280	Qualcomm Technologies, Inc SDM670	8
OPPO	PBCM10	10.0	6	1080x2340	Qualcomm Technologies, Inc SDM660	8
华为	AUM-AL00	8.0	2	1440x720	msm8937	8
VIVO	V1941A	9.0	6	1080x2340	Qualcomm Technologies, Inc SM6150	8
华为	BKL-AL20	10.0	6	1080x2160	Hisilicon Kirin970	8
华为	FLA-AL20	9.0	4	1080x2160	hi6250	8
一加	 HD1910	11.0	8	1440x3120	骁龙855plus	8
小米	Redmi 4A	6.0	2	1280x720	Qualcomm Technologies, Inc MSM8917	4
一加	HD1900	10.0	8	1080x2400	Qualcomm Technologies, Inc SM8150	8
小米	Redmi Note 7	9.0	6	1080x2340	Qualcomm Technologies, Inc SDM660	8
MEITU	MP1605	7.1	6	1080x1920		4
小米	MI 6	9.0	4	1080x1920	Qualcomm Technologies, Inc MSM8998	8
小米	MI CC 9	10.0	6	1080x2340	Qualcomm Technologies, Inc SDM710	8
谷歌	Pixel 2	9.0	4	1080x2340	骁龙765G	8
金立	GIONEE S10BL	7.0	4	1080x1920		10
奇酷	1801-A01	7.1	6	1080x2160		8
华为	STF-AL10	7.0	4	1080x1920		8
华为	VTR-AL00	7.0	4	1080x2340		8
华为	BKK-AL10	8.1	4	1520x720	Qualcomm Technologies, Inc SDM632	8
OPPO	PBEM00	10.0	6	1080x2340	Qualcomm Technologies, Inc SDM670	8
酷派	C106-9	6.0	4	1080x1920	骁龙652	8
华为	NCE-AL00	6.0	3	1280x720	MT6750	8
小米	Redmi Pro	6.0	3	1080x1920	MT6797M	10
小米	Redmi 8	9.0	4	1520x720	Qualcomm Technologies, Inc SDM439	8
小米	Redmi Note 7 Pro	10.0	6	1080x2340	Qualcomm Technologies, Inc SM6150	8
三星	SM-G973F	10.0	8	1440x3040	Exynos 9820	8
360	1505-A02	6.0	4	1080x1920		8
COOLPAD	C106-7	6.0	3	1080x1920		8
小米	Redmi Note 4X	6.0	3	1080x1920	-	4
OPPO	OPPO R11 Plusk	8.1	6	1080x1920	Qualcomm Technologies, Inc SDM660	8
OPPO	PBAT00	8.1	3	1520x720	Qualcomm Technologies, Inc SDM450	8
华为	LYA-AL00	10.0	6	1440x3120	Hisilicon Kirin980	8
华为	SEA-AL10	10.0	8	1080x2340	Hisilicon Kirin980	8
华为	CDY-AN00	10.0	8	1080x2400	Hisilicon Kirin820	8
VIVO	V1916A	11.0	8	1080x2340	骁龙855plus	8
华为	CDY-TN90	10.0	8	1080x2400	Hisilicon Kirin820	8
华为	OXF-AN00	10.0	8	1080x2400	Hisilicon Kirin990	8
华为	BMH-AN10	10.0	8	1080x2400	Hisilicon Kirin985	8
一加	HD1910	10.0	8	1080x2340	Qualcomm Technologies, Inc SM8150	8
华为	HUAWEI CAZ-TL10	6.0	3	1080x1920	Qualcomm Technologies, Inc MSM8953	8
小米	Redmi Note 4X	6.0	4	1080x1920		8
华为	PAR-AL00	9.0	6	1080x2340	kirin970	8
华为	TEL-AN00a	10.0	6	1080x2400	Hisilicon Kirin820	8
努比亚	NX627J	9.0	6	1080x2340		8
华为	EBG-AN00	10.0	8	1080x2340	Hisilicon Kirin990	8
华为	LIO-AN00	HarmonyOS 2.0	8	 2400x1176	kirin990	8
VIVO	vivo X21A	9.0	6	1080x2280	Qualcomm Technologies, Inc SDM660	8
华为	TNY-AL00	10.0	6	1080x2340	Hisilicon Kirin980	8
华为	 COL-AL10	10.0	6	1080x2340	麒麟970	8
华为	JSN-AL00a	10.0	4	1080x2340	Hisilicon Kirin710	8
魅族	meizu 17	10.0	8	1080x2400		8
小米	MIX 2S	10.0	6	1080x2160	Qualcomm Technologies, Inc SDM845	8
华为	EVR-AL00	9.0	6	1080x2244	kirin980	8
HTC	HTC_U-1u	7.0	4	1440x2720	Qualcomm Technologies, Inc MSM8996pro	4
VIVO	V1824A	10.0	12	1080x2340	Qualcomm Technologies, Inc SM8150	8
VIVO	V1824BA	11.0	6	1080x2340	骁龙855	8
华为	MAR-AL00	10.0	4	1080x2312	Hisilicon Kirin710	8
魅族	16th	8.1	6	1080x2160	Qualcomm Technologies, Inc SDM845	8
华为	KNT-UL10	8.0	4	1080x1920	hi3650	8
华为	HLK-AL00	10.0	6	1080x2340	Kirin810	8
华为	 YAL-AL10	10.0	8	1080x2340	麒麟980	8
VIVO	V1936A	10.0	6	1080x2340	Qualcomm Technologies, Inc SM8150	8
华为	ARS-AL00	9.0	4	1080x2244	Qualcomm Technologies, Inc SDM660	8
华为	YAL-AL00	10.0	8	1080x2340	Hisilicon Kirin980	8
小米	MI 9	10.0	6	1080x2340	Qualcomm Technologies, Inc SM8150	8
华为	BAC-AL00	8.0	4	1080x1920	hi6250	8
VIVO	vivo Y71A	8.1	3	1440x720	Qualcomm Technologies, Inc MSM8917	4
真我	RMX1901	10.0	6	1080x2340	Qualcomm Technologies, Inc SDM710	8
华为	SPN-AL00	10.0	6	1080x2340	Hisilicon Kirin810	8
华为	KNT-AL20	8.0	4	1440x2560	hi3650	8
VIVO	V1955A	10.0	6	1080x2400		8
华为	VCE-AL00	10.0	8	1080x2310	Hisilicon Kirin970	8
华为	OXF-AN10	10.0	8	1080x2340	麒麟990 5G	8
华为	OXF-AN00	10.0	8	1080x2400	Hisilicon Kirin990	8
华为	COR-AL00	9.0	4	1080x2340	kirin970	8
华为	JEF-AN00	10.0	8	1080x2400	Hisilicon Kirin985	8
一加	GM1900	10.0	8	1080x2340	Qualcomm Technologies, Inc SM8150	8
华为	VOG-AL00	10.0	8	1080x2340	Hisilicon Kirin980	8
华为	LIO-AL00	HarmonyOS 2.0	8	1176x2400	Hisilicon Kirin990	8
华为	BAC-TL00	8.0	4	1080x1920	hi6250	8
华为	TAS-AL00	10.0	8	1080x2340	Hisilicon Kirin990	8
小米	Redmi Note 7	9.0	4	1080x2340	Qualcomm Technologies, Inc SDM660	8
小米	MI 9	9.0	8	1080x2340	Qualcomm Technologies, Inc SM8150	8
华为	HLK-AL00	10.0	4	1080x2340	Hisilicon Kirin810	8
华为	EML-AL00	10.0	6	1080x2244	Hisilicon Kirin970	8
金立	GIONEE M7	7.1	6	1080x2160	mt6758	8
华为	NTS-AL00	6.0	4	1440x2560	Hisilicon Kirin 950	8
华为	EDI-AL10	8.0	4	1440x2560	hi3650	8
VIVO	V1911A	10.0	6	1080x2340	Qualcomm Technologies, Inc SDM710	8
华为	HUAWEI ALE-CL00	6.0	2	1280x720	Qualcomm MSM 8939 HUAWEI ALE-CL	8
华为	TNY-AL00	10.0	6	1080x2340	麒麟980	8
VIVO	V1934A	9.0	6	1080x2340	MT6768V/CA	8
三星	SM-C9000	8.0	6	1080x1920	Qualcomm Technologies, Inc MSM8976SG	8
三星	SCV38	8.0	3	1440x2960	Qualcomm Technologies, Inc SDM845	8
华为	DUK-TL30	9.0	6	1440x2560		8
三星	SM-A7050	10.0	6	1080x2400	Qualcomm Technologies, Inc SM6150	8
索尼	SO-04J	9.0	4	2160x3840	Qualcomm Technologies, Inc MSM8998	8
小米	MI 9 SE	10.0	6	1080x2340	Qualcomm Technologies, Inc SDM712	8
小米	Redmi 5A	8.1	2	1280x720	Qualcomm Technologies, Inc MSM8917	4
华为	EML-AL00	9.0	6	1080x2340		8
华为	KNT-AL10	8.0	4	1080x1920	hi3650	8
OPPO	PACT00	9.0	6	1080x2280	MT6771V/C	8
华为	JEF-AN00	10.0	8	1080x2400	Hisilicon Kirin985	8
索尼	XQ-AS72	11.0	8	110x1200	骁龙865	8
夏普	908SH	10.0	12	1440x3168	高通骁龙865+	8
华为	CLT-AL01	10.0	6	1080x2240	Hisilicon Kirin970	8
小米	Redmi 3X	6.0	2	0x0	Qualcomm Technologies, Inc MSM8937	8
索尼	XQ-AT52	10.0	8	1096x2560	Qualcomm Technologies, Inc KONA	8
华为	YAL-L21	10.0	8	1080x2340	海思980	8
三星	SM-N9500	9.0	5	1440x2960	Qualcomm Technologies, Inc MSM8998	8
三星	SM-J700H	6.0	1	1280x720	SAMSUNG Exynos7580	8
XIAOMI	Redmi K20 Pro	10.0	8	1080x2340	Qualcomm	8
一加	GM1910	10.0	6	1080x2340		8
华为	STK-AL00	10.0	6	1080x2340	Hisilicon Kirin710	8
小米	MI 8 UD	10.0	8	1080x2248		8
OPPO	CPH1979	9.0	8	 2340x1080	高通骁龙625	8
华为	MHA-AL00	7.0	4	1080x1920	hi3660	8
华为	VKY-AL00	7.0	6	1440x2560		8
华为	EVA-AL10	8.0	4	1080x1920	hi3650	8
三星	SM-G8870	10.0	6	1080x2340	Qualcomm Technologies, Inc SDM710	8
VIVO	V1831A	9.0	6	1080x2340	MT6771V/CT	8
OPPO	PAAT00	10.0	6	1080x2280	Qualcomm Technologies, Inc SDM660	8
华为	DVC-TN20	HarmonyOS 2.0	6	1080x2400	MT6873	8
VIVO	V1829A	10.0	8	1080x2340	Qualcomm Technologies, Inc SDM710	8
小米	MI MAX 3	8.1	4	1080x2160	Qualcomm Technologies, Inc SDM636	8
