Brand	Model	SystemVersion	Resolution	Screen	CPU	CPU Core Count	CpuMHZ	RAM
LG	LG-H990	7	1440×2560	5.7	"Qualcomm Technologies, Inc MSM8996"	4	2200MHz	4096MB
联想	P1c72	5.1.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8939"	8	1500MHz	3072MB
联想	K920	5.0.2	1440×2560	6	Qualcomm MSM8974PRO-AC	4	2500MHz	3072MB
联想	P2c72	6.0.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8953"	8	2000MHz	3072MB
联想	Z2131	7	1080×1920	5	"Qualcomm Technologies, Inc MSM8996"	4	2200MHz	4096MB
联想	ZUK Edge	7	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8996pro"	4	2350MHz	6144MB
联想	Z1	5.1.1	1080×1920	5.5	Qualcomm MSM8974PRO-AC	4	2500MHz	3072MB
联想	A3800-d	4.4.2	480×854	4.5	MT6582	4	1300MHz	512MB
联想	Z2121	7	1080×1920	5.2	"Qualcomm Technologies, Inc MSM8996"	4	2200MHz	4096MB
联想	K50-T5	6	1080×1920	5.5	: AArch64 Processor rev 2 (aarch64)	8	1700MHz	2048MB
联想	A788t	4.3	480×854	5	PXA1L88	4	1200MHz	1024MB
联想	A2800-d	4.4.4	480×800	4	: ARMv7 Processor rev 5 (v7l)	4	1500MHz	512MB
联想	A360t	4.4.2	480×854	4.5	MT6582	4	1300MHz	512MB
联想	A368t	4.4.2	480×854	5	: ARMv7 Processor rev 3 (v7l)	4	1200MHz	512MB
联想	A7600-m	5	720×1280	5.5	MT6752	8	1500MHz	2048MB
联想	Z2121	6.0.1	1080×1920	5.2	-	4	2200MHz	4096MB
联想	k52t38	5.1	1080×1920	5.5	MT6755BM	8	1000MHz	2048MB
联想	A828t	4.2.1	720×1280	5	PXA1088	4	1200MHz	1024MB
联想	Z1	6.0.1	1080×1920	5.5	Qualcomm MSM8974PRO-AC	4	2500MHz	3072MB
联想	A785e	4.3	720×1280	5	Qualcomm MSM 8612	4	1200MHz	1024MB
联想	PB2-690N	6.0.1	1440×2560	6.4	"Qualcomm Technologies, Inc MSM8976"	8	1500MHz	4096MB
乐视	X501	6	1080×1920	5.5	: AArch64 Processor rev 2 (aarch64)	8	2000MHz	3072MB
乐视	X600	6	1080×1920	5.5	: AArch64 Processor rev 2 (aarch64)	8	2000MHz	3072MB
乐视	X720	6.0.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8996pro"	4	2400MHz	6144MB
乐视	X800	6.0.1	1440×2560	5.5	"Qualcomm Technologies, Inc MSM8994"	8	2000MHz	4096MB
乐视	X820	6.0.1	1440×2560	5.7	"Qualcomm Technologies, Inc MSM8996"	4	2150MHz	4096MB
乐视	X900	5.0.2	1440×2560	6.33	"Qualcomm Technologies, Inc MSM8994"	8	2000MHz	4096MB
乐视	X620	6	1080×1920	5.5	: AArch64 Processor rev 4 (aarch64)	10	2300MHz	3072MB
乐视	X900	6.0.1	1440×2560	6.33	"Qualcomm Technologies, Inc MSM8994"	8	2000MHz	4096MB
乐视	X528	6.0.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8976"	8	1800MHz	3072MB
乐视	X800	6.0.1	1440×2560	5	"Qualcomm Technologies, Inc MSM8994"	8	2000MHz	4096MB
乐视	X651	6	1080×1920	5.5	: AArch64 Processor rev 4 (aarch64)	10	2350MHz	6144MB
乐视	X520	6.0.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8976"	8	2300MHz	3072MB
乐视	X722	6.0.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8996"	4	2000MHz	6144MB
乐视	X626	6	1080×1920	5.5	: AArch64 Processor rev 4 (aarch64)	10	2300MHz	4096MB
魅族	M5	6	720×1280	5.2	: AArch64 Processor rev 2 (aarch64)	8	1500MHz	2048MB
魅族	PRO 5	5.1	1080×1920	5.7	M86	8	2100MHz	4096MB
魅族	m1 metal	5.1	1080×1920	5.5	MT6795M	8	2000MHz	2048MB
魅族	m2 note	5.1	1080×1920	5.5	MT6753	8	1300MHz	2048MB
魅族	M3X	6.0.1	1080×1920	5.5	: AArch64 Processor rev 4 (aarch64)	8	2300MHz	3072MB
魅族	M A5	6	720×1280	5	: AArch64 Processor rev 4 (aarch64)	4	1300MHz	2048MB
魅族	MX5	5.1	1080×1920	5.5	MT6795M	8	2200MHz	3072MB
魅族	PRO 6 Plus	7.0.0	1440×2560	5.7	-	8	2000MHz	4096MB
魅族	PRO 6s	6	1080×1920	5.2	: AArch64 Processor rev 4 (aarch64)	10	2500MHz	4000MB
魅族	m3 note	5.1	1080×1920	5.5	MT6755M	8	1800MHz	2048MB
魅族	M5s	6	720×1280	5.2	: AArch64 Processor rev 4 (aarch64)	8	1300MHz	3072MB
魅族	M5 Note	6	1080×1920	5.5	: AArch64 Processor rev 2 (aarch64)	8	1800MHz	4096MB
魅族	PRO 7-S	7	1080×1920	5.2	: AArch64 Processor rev 4 (aarch64)	8	2000MHz	4096MB
魅族	M3s	5.1	720×1280	5	MT6750	8	1000MHz	2048MB
魅族	M578C	5.1	720×1280	5	MT6735	4	1300MHz	2048MB
魅族	M3 Max	6	1080×1920	6	: AArch64 Processor rev 2 (aarch64)	8	1800MHz	3072MB
魅族	M2 E	6.0.1	1080×1920	5.5	: AArch64 Processor rev 4 (aarch64)	8	2300MHz	3072MB
魅族	PRO 7 Plus	7	1440×2600	5.7	: AArch64 Processor rev 1 (aarch64)	10	2600MHz	6144MB
魅族	M3	5.1	720×1280	5	MT6750	8	1500MHz	2048MB
魅族	M1 E	6	1080×1920	5.5	: AArch64 Processor rev 2 (aarch64)	8	1800MHz	2048MB
魅族	MX5	5.0.1	1080×1920	5.5	MT6795T	8	2200MHz	3072MB
美图	MP1512	6	1080×1920	5	: AArch64 Processor rev 2 (aarch64)	8	2000MHz	4096MB
美图	MP1503	6	1080×1920	5	: AArch64 Processor rev 2 (aarch64)	8	2000MHz	3072MB
美图	MP1602	6	1080×1920	5.2	: AArch64 Processor rev 4 (aarch64)	10	2300MHz	4096MB
摩托罗拉	XT1085	5.1	1080×1920	5.2	Qualcomm MSM8974PRO-AC	4	2500MHz	2048MB
摩托罗拉	XT1650-05	7	1440×2560	5.5	"Qualcomm Technologies, Inc MSM8996"	4	1600MHz	4096MB
摩托罗拉	XT1079	5.0.2	720×1280	5	Qualcomm MSM8926	4	1200MHz	1024MB
摩托罗拉	XT1662	7	1080×1920	5.5	: AArch64 Processor rev 2 (aarch64)	8	2200MHz	3072MB
摩托罗拉	XT1077	5.1	1280×720	5	Qualcomm MSM8926	4	1200MHz	1024MB
诺基亚	TA-1041	7.1.1	1080×1920	5.2	"Qualcomm Technologies, Inc SDM630"	8	2200MHz	4096MB
诺基亚	TA-1000	7.1.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8937"	8	1400MHz	4096MB
诺基亚	TA-1000	7	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8937"	8	1400MHz	4096MB
一加	ONE E1001	5.1.1	1080×1920	5	Qualcomm MSM8974PRO-AA	4	2300MHz	3072MB
一加	A3000	7.1.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8996"	4	2200MHz	6144MB
一加	ONE A2001	5.1.1	1080×1920	5.5	"Qualcomm Technologies, Inc. MSM8994v2.1 MTP"	8	1600MHz	4096MB
一加	A0001	4.3	1080×1920	5.5	Qualcomm MSM 8974 (Flattened Device Tree)	4	2500MHz	3072MB
飞利浦	X818	6	1080×1920	5.5	: AArch64 Processor rev 2 (aarch64)	8	2000MHz	3072MB
飞利浦	X596	7.1.2	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8940"	8	1400MHz	4096MB
奇酷	1515-A01	6.0.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8976"	8	1800MHz	4096MB
奇酷	1605-A01	6.0.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8976"	8	1800MHz	6144MB
奇酷	1503-M02	6	1080×1920	5.5	: AArch64 Processor rev 4 (aarch64)	10	2500MHz	4096MB
奇酷	8692-A00	5.1.1	1440×2560	6	"Qualcomm Technologies, Inc MSM8992"	6	1400MHz	4096MB
奇酷	1505-A02	6.0.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8953"	8	2000MHz	3072MB
蓝魔	ramos R9	5.1	1080×1920	5.2	MT6753T	8	1300MHz	3072MB
三星	SM-N900	5	1080×1920	5.7	Samsung EXYNOS5420	4	1900MHz	3072MB
三星	SM-J3109	5.1.1	720×1280	5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1536MB
三星	SM-J3110	5.1.1	720×1280	5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	2048MB
三星	SCH-I959	5.0.1	1080×1920	5	UNIVERSAL5410	4	1600MHz	2048MB
三星	SM-G5500	5.1.1	720×1280	5	: ARMv7 Processor rev 3 (v7l)	4	1300MHz	1536MB
三星	SM-G9500	7	1440×2960	5.8	"Qualcomm Technologies, Inc MSM8998"	8	2350MHz	4096MB
三星	SM-J5008	5.1	720×1280	5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1536MB
三星	SM-G9350	7	1440×2560	5.5	: AArch64 Processor rev 2 (aarch64)	4	2150MHz	4096MB
三星	SM-G9009D	6.0.1	1920×1080	5.1	Qualcomm MSM8974PRO-AC	4	2500MHz	2048MB
三星	SM-G3502I	4.3	480×800	4.3	Qualcomm MSM 8610 (Flattened Device Tree)	2	1200MHz	768MB
三星	SM-J7108	6.0.1	1080×1920	5.5	SAMSUNG Exynos7580	8	1600MHz	3072MB
三星	SM-N9008V	5	1080×1920	5.7	Qualcomm MSM8974	4	2300MHz	3072MB
三星	SM-C5010	6.0.1	1080×1920	5.2	: AArch64 Processor rev 4 (aarch64)	8	2200MHz	4096MB
三星	GT-I9500	5.0.1	1080×1920	5	UNIVERSAL5410	4	1600MHz	2048MB
三星	SM-G9006V	6.0.1	1080×1920	5.1	Qualcomm MSM8974PRO-AC	4	2500MHz	2048MB
三星	SM-G9308	7	1440×2560	5.1	: AArch64 Processor rev 2 (aarch64)	4	1400MHz	4096MB
三星	SM-N9100	6.0.1	1440×2560	5.7	: ARMv7 Processor rev 1 (v7l)	4	2700MHz	3072MB
三星	SM-A7009	6.0.1	1080×1920	5.5	: ARMv7 Processor rev 1 (v7l)	8	2500MHz	2048MB
三星	SM-G6100	6.0.1	1080×1920	5.5	: AArch64 Processor rev 4 (aarch64)	8	2000MHz	3072MB
三星	SM-G9209	6.0.1	1440×2560	5.1	SAMSUNG Exynos7420	8	2100MHz	3072MB
三星	SM-G6000	5.1.1	720×1280	5.5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1536MB
三星	SM-N9109W	6.0.1	1440×2560	5.7	: ARMv7 Processor rev 1 (v7l)	4	2700MHz	3076MB
三星	SM-A9100	6.0.1	1080×1920	6	"Qualcomm Technologies, Inc MSM8976"	8	1800MHz	4096MB
三星	SM-J3119	5.1.1	720×1280	5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	2048MB
三星	GT-S7272C	4.3	480×800	4	Qualcomm MSM 8610 (Flattened Device Tree)	2	1200MHz	768MB
三星	SM-G9208	6.0.1	1440×2560	5.1	SAMSUNG Exynos7420	8	2100MHz	3072MB
三星	SM-J7008	5.1	720×1280	5.5	: ARMv7 Processor rev 1 (v7l)	8	1400MHz	1536MB
三星	SM-A5108	6.0.1	1080×1920	5.2	SAMSUNG Exynos7580	8	1600MHz	3072MB
三星	SM-C5000	6.0.1	1080×1920	5.2	: ARMv7 Processor rev 4 (v7l)	8	1500MHz	4096MB
三星	SM-A3009	5.0.2	540×960	4.5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1024MB
三星	SM-J5108	6.0.1	720×1280	5.2	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	2048MB
三星	SM-C7010	6.0.1	1080×1920	5.7	: AArch64 Processor rev 4 (aarch64)	8	2200MHz	4096MB
三星	SM-G5700	6.0.1	720×1280	5	: ARMv7 Processor rev 4 (v7l)	8	1500MHz	3072MB
三星	SM-C7000	6.0.1	1080×1920	5.7	: AArch64 Processor rev 4 (aarch64)	8	2000MHz	4096MB
三星	SM-G9280	7	1440×2560	5.7	SAMSUNG Exynos7420	8	2100MHz	4096MB
三星	SM-J7109	6.0.1	1080×1920	5.5	: ARMv7 Processor rev 4 (v7l)	8	1500MHz	3072MB
三星	SM-N9106W	6.0.1	1440×2560	5.7	: ARMv7 Processor rev 1 (v7l)	4	2700MHz	3072MB
三星	SM-N9100	5.1.1	1440×2560	5.7	: ARMv7 Processor rev 1 (v7l)	4	2700MHz	3072MB
三星	SM-N9108V	6.0.1	1440×2560	5.7	: ARMv7 Processor rev 1 (v7l)	4	2700MHz	3072MB
三星	SM-A5000	6.0.1	720×1280	5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	2048MB
三星	SM-G5520	6.0.1	720×1280	5	: ARMv7 Processor rev 4 (v7l)	4	1400MHz	2048MB
三星	SM-N9109W	5.0.1	1440×2560	5.7	: ARMv7 Processor rev 1 (v7l)	4	2700MHz	3076MB
三星	SM-C9000	6.0.1	1080×1920	6	"Qualcomm Technologies, Inc MSM8976"	8	1950MHz	6144MB
三星	SM-N9006	5	1080×1920	5.7	Qualcomm MSM8974	4	2300MHz	3072MB
三星	SM-G3589W	4.4.2	480×800	4.7	Qualcomm MSM 8226 (Flattened Device Tree)	4	1200MHz	1024MB
三星	SM-G1600	6.0.1	480×800	3.8	: ARMv7 Processor rev 4 (v7l)	4	1400MHz	2048MB
三星	SM-G9300	7	1440×2560	5.1	: AArch64 Processor rev 2 (aarch64)	4	2150MHz	3072MB
三星	SM-G9008V	6.0.1	1080×1920	5.1	Qualcomm MSM8974PRO-AC	4	2500MHz	2048MB
三星	SM-W2016	5.1.1	768×1280	3.9	SAMSUNG Exynos7420	8	2100MHz	3072MB
锤子	SM919	6.0.1	1440×2560	5.7	"Qualcomm Technologies, Inc MSM8996pro"	4	2400MHz	4096MB
锤子	SM901	6.0.1	1080×1920	5.15	"Qualcomm Technologies, Inc MSM8996pro"	4	2400MHz	4096MB
锤子	SM705	4.4.2	1080×1920	4.95	Qualcomm MSM 8974 (Flattened Device Tree)	4	2500MHz	2048MB
索尼	E5823	6.0.1	720×1280	4.6	-	8	2000MHz	2048MB
索尼	F8332	7.1.1	1080×1920	5.2	"Qualcomm Technologies, Inc MSM8996"	4	2200MHz	3072MB
索尼	E6683	5.1.1	1080×1920	5.2	"Qualcomm Technologies, Inc MSM8994"	8	2000MHz	3072MB
索尼	E6683	6.0.1	1080×1920	5.2	-	8	2000MHz	3072MB
索尼	F8332	6.0.1	1080×1920	5.2	"Qualcomm Technologies, Inc MSM8996"	4	2200MHz	3072MB
索尼	XM50t	4.3	720×1280	6	Qualcomm MSM 8226 (Flattened Device Tree)	4	1400MHz	1024MB
索爱	G3116	7	720×1280	5	: AArch64 Processor rev 4 (aarch64)	8	2300MHz	3072MB
索爱	G3121	7	1080×1920	5.5	: AArch64 Processor rev 4 (aarch64)	8	1500MHz	3072MB
索爱	G8231	7.1.1	1080×1920	5.2	"Qualcomm Technologies, Inc MSM8996"	4	2300MHz	4096MB
中兴	BV0800	7	1080×1920	4.2	"Qualcomm Technologies, Inc MSM8940"	8	1000MHz	4096MB
中兴	A0616	7	720×1280	5.5	: AArch64 Processor rev 3 (aarch64)	4	1400MHz	3072MB
中兴	BA610T	5.1	720×1280	5	MT6735P	4	1000MHz	2048MB
中兴	BV0720	6	720×1280	5	: AArch64 Processor rev 2 (aarch64)	8	1500MHz	2048MB
中兴	ZTE N939St	5.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8939"	8	1500MHz	2048MB
中兴	C880U	5.1	720×1280	5	MT6735	4	1300MHz	2048MB
中兴	BV0870	7	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8940"	8	1400MHz	4096MB
中兴	BA602	6	720×1280	5.5	: AArch64 Processor rev 3 (aarch64)	4	1250MHz	2048MB
中兴	A2015	5.0.2	1440×2560	5.5	"Qualcomm Technologies, Inc MSM8994"	8	2000MHz	3072MB
中兴	B2015	5.1.1	1080×1920	5.2	"Qualcomm Technologies, Inc MSM8939"	8	1500MHz	3072MB
中兴	C2017	6.0.1	1080×1920	6	"Qualcomm Technologies, Inc MSM8953"	8	2000MHz	4096MB
中兴	BA910	5.1	720×1200	5.5	MT6735	4	1300MHz	2048MB
中兴	BV0701	6	1080×1920	5.2	: AArch64 Processor rev 4 (aarch64)	8	1300MHz	2048MB
中兴	BA611T	5.1	720×1280	5	MT6735P	4	1500MHz	3072MB
中兴	Q806T	5	720×1280	5	MT6735	4	1300MHz	1024MB
中兴	C880A	5.1	720×1280	5	MT6735	4	1300MHz	2048MB
中兴	ZTE V0840	7.1.1	720×1280	5	"Qualcomm Technologies, Inc MSM8917"	4	1400MHz	3072MB
中兴	S2010	5.1	720×1184	5	MT6753	8	1300MHz	2048MB
中兴	Q2S-T	4.4.2	720×1280	5.5	Qualcomm MSM8926	4	1200MHz	1024MB
中兴	BA910T	5.1	720×1280	5.5	MT6735	4	1300MHz	3072MB
中兴	A2017	7.1.1	1440×2560	5.5	"Qualcomm Technologies, Inc MSM8996"	4	2150MHz	4096MB
中兴	Q505T	4.3	480×854	4.5	Qualcomm MSM8926	4	1200MHz	1024MB
金立	M3S	5.1.1	720×1280	5	"Qualcomm Technologies, Inc MSM8916"	4	1200MHz	1536MB
金立	GN3003	5.1	720×1280	5	MT6735	4	1300MHz	1024MB
金立	V183	4.4.4	480×854	4.5	MT6752	4	1300MHz	1024MB
金立	F100A	5.1	720×1280	5	MT6735	4	1300MHz	1024MB
金立	S9	6	1080×1920	5.5	: AArch64 Processor rev 2 (aarch64)	8	2000MHz	4096MB
金立	F5	6	720×1280	5.3	: AArch64 Processor rev 2 (aarch64)	8	1500MHz	4096MB
金立	GN9000	4.4.2	1080×1920	5	MT6592	8	1700MHz	2048MB
金立	GN8002	6	1080×1920	6	: AArch64 Processor rev 2 (aarch64)	8	2000MHz	4096MB
金立	W900S	5.1	480×800	4	MT6753	8	1500MHz	2048MB
金立	M6SPlus	6.0.1	1080×1920	6	"Qualcomm Technologies, Inc MSM8976SG"	8	1950MHz	6144MB
金立	W909	5.1	720×1280	4.2	MT6755M	8	1800MHz	3072MB
金立	S10C	7.1.1	720×1280	5.2	"Qualcomm Technologies, Inc MSM8920"	4	1400MHz	4096MB
金立	F100	5.1	720×1280	5	MT6735	4	1300MHz	1024MB
金立	S10	7	1080×1920	5.5	: AArch64 Processor rev 4 (aarch64)	8	2500MHz	6144MB
金立	GN151	4.4.2	480×854	4.7	MT6582	4	1300MHz	1024MB
金立	GN5003	6	720×1280	5.3	: AArch64 Processor rev 2 (aarch64)	8	1500MHz	3072MB
金立	GN5005	6	720×1280	5	: AArch64 Processor rev 3 (aarch64)	4	1250MHz	3072MB
金立	GN8002S	6	1080×1920	6	: AArch64 Processor rev 2 (aarch64)	8	2048MHz	4096MB
金立	GN8003	6	1080×1920	5.5	: AArch64 Processor rev 2 (aarch64)	8	1800MHz	4096MB
金立	S10L	7	1080×1920	5.5	: AArch64 Processor rev 4 (aarch64)	8	2500MHz	6144MB
天语	Tou ch3w	4.3	480×854	5	Qualcomm MSM 8226 (Flattened Device Tree)	4	1200MHz	1024MB
努比亚	NX513J	5.0.2	1080×1920	5.2	"Qualcomm Technologies, Inc MSM8939"	8	1500MHz	2048MB
努比亚	NX575J	6	720×1280	5.5	: AArch64 Processor rev 2 (aarch64)	8	1500MHz	4096MB
努比亚	NX563J	7.1.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8998"	8	2400MHz	8192MB
努比亚	NX535J	5.1	1080×1920	6	MT6755M	8	1800MHz	4096MB
努比亚	NX505H	4.4.2	1920×1080	5.5	Qualcomm MSM8974PRO-AC	4	2300MHz	2048MB
努比亚	NX510J	5.0.2	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8994"	8	1500MHz	3072MB
努比亚	NX507J	5.1.1	1080×1920	5	Qualcomm MSM8974PRO-AA	4	2000MHz	2048MB
努比亚	NX512J	5.0.2	1920×1080	5.5	"Qualcomm Technologies, Inc MSM8939"	8	2000MHz	3072MB
努比亚	NX529J	5.1.1	1080×1920	5	"Qualcomm Technologies, Inc MSM8952"	8	1500MHz	3072MB
努比亚	NX508J	5.1.1	1080×1920	5.2	"Qualcomm Technologies, Inc MSM8994"	8	2000MHz	3072MB
努比亚	NX549J	6.0.1	1080×1920	5.2	"Qualcomm Technologies, Inc MSM8953"	8	2000MHz	4096MB
努比亚	NX505J	4.4.2	1080×1920	5.5	Qualcomm MSM8974PRO-AC	4	2500MHz	2048MB
努比亚	NX508J	5.0.2	1080×1920	5.2	"Qualcomm Technologies, Inc MSM8994"	8	2000MHz	3072MB
努比亚	NX541J	5.1	1080×1920	5.5	MT6755M	8	1800MHz	3072MB
OPPO	A33	5.1.1	540×960	5	"Qualcomm Technologies, Inc MSM8916"	4	1200MHz	2048MB
OPPO	R7005	4.4.2	720×1280	5	Qualcomm MSM8928	4	1600MHz	2048MB
OPPO	R8200	4.4.4	1280×720	5	: ARMv7 Processor rev 1 (v7l)	8	1500MHz	2048MB
OPPO	A51	5.1.1	720×1280	5	"Qualcomm Technologies, Inc MSM8916"	4	1200MHz	2048MB
OPPO	N5117	4.3	720×1280	5	Qualcomm MSM 8226 (Flattened Device Tree)	4	1600MHz	2048MB
OPPO	X9007	4.4.2	1080×1920	5.5	Qualcomm MSM 8974 (Flattened Device Tree)	4	2300MHz	2048MB
OPPO	R9 Plusm A	5.1.1	1080×1920	6	"Qualcomm Technologies, Inc MSM8976"	8	1800MHz	4096MB
OPPO	R7007	4.3	720×1280	5	Qualcomm MSM 8226 (Flattened Device Tree)	4	1600MHz	1024MB
OPPO	R9m	5.1	1080×1920	5.5	MT6755	8	2000MHz	4096MB
OPPO	R831S	4.3	480×854	4.5	Qualcomm MSM 8226 (Flattened Device Tree)	4	1200MHz	1024MB
OPPO	R9tm	5.1	1080×1920	5.5	MT6755	8	2000MHz	3072MB
OPPO	R9 Plustm A	5.1.1	1080×1920	6	"Qualcomm Technologies, Inc MSM8976"	8	1800MHz	4096MB
OPPO	X9000	4.3	1080×1920	5.5	Qualcomm MSM 8974 (Flattened Device Tree)	4	2300MHz	2048MB
OPPO	A53m	5.1.1	720×1280	5.5	"Qualcomm Technologies, Inc MSM8939"	8	1500MHz	2048MB
OPPO	A53	5.1.1	720×1200	5.5	"Qualcomm Technologies, Inc MSM8939"	8	1500MHz	2048MB
OPPO	A37m	5.1	720×1280	5	MT6750	8	1500MHz	2048MB
OPPO	A31	4.4.4	480×854	4.5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1024MB
OPPO	N5207	4.4.4	1080×1920	5.5	Qualcomm MSM 8974 (Flattened Device Tree)	4	2300MHz	2048MB
OPPO	R8205	4.4.4	720×1280	5	: ARMv7 Processor rev 1 (v7l)	8	1500MHz	2048MB
OPPO	R8107	4.4.4	1920×1080	5.2	: ARMv7 Processor rev 1 (v7l)	8	1500MHz	2048MB
OPPO	A31c	4.4.4	480×854	4.5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1024MB
OPPO	3007	4.4.4	720×1280	4.7	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1024MB
vivo	Y35	5	720×1280	5	MT6735	4	1300MHz	2048MB
vivo	Y37	5.0.2	720×1280	5.5	: ARMv7 Processor rev 1 (v7l)	8	1400MHz	2048MB
vivo	X9i	7.1.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8953"	8	2000MHz	3072MB
vivo	X7	5.1.1	1080×1920	5.2	"Qualcomm Technologies, Inc MSM8976"	8	1800MHz	4096MB
vivo	Y23L	4.4.4	480×854	4.5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1024MB
vivo	X6SPlus D	5.1.1	1080×1920	5.7	"Qualcomm Technologies, Inc MSM8976"	8	1800MHz	4096MB
vivo	X9	7.1.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8953"	8	2000MHz	4096MB
vivo	X9L	6.0.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8953"	8	2000MHz	4096MB
vivo	V3Max A	5.1.1	1080×1920	5.5	: ARMv7 Processor rev 4 (v7l)	8	1500MHz	3072MB
vivo	X9s	7.1.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8976"	8	1400MHz	4096MB
vivo	X9Plus	6.0.1	1080×1920	5.88	"Qualcomm Technologies, Inc MSM8976SG"	8	1950MHz	6144MB
vivo	X6L	5.1	1080×1920	5.2	MT6752	8	1700MHz	4096MB
vivo	V3	5.1.1	720×1280	5	: ARMv7 Processor rev 4 (v7l)	8	1500MHz	3072MB
vivo	X510t	4.2.2	1080×1920	5.7	QCT APQ8064 MTP	4	1700MHz	2048MB
vivo	Y51	5.0.2	540×960	5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	2048MB
vivo	Y67	6	720×1280	5.5	: AArch64 Processor rev 2 (aarch64)	8	1500MHz	4096MB
vivo	Y937	5.0.2	720×1280	5.5	: ARMv7 Processor rev 1 (v7l)	8	1400MHz	2048MB
vivo	X6Plus A	5.0.2	1080×1920	5.7	"Qualcomm Technologies, Inc MSM8939"	8	1700MHz	4096MB
vivo	Xplay6	7.1.1	1440×2560	5.46	"Qualcomm Technologies, Inc MSM8996"	4	2150MHz	6144MB
vivo	Y66	6.0.1	720×1280	5.5	: ARMv7 Processor rev 4 (v7l)	8	1400MHz	3072MB
vivo	X6S A	5.1.1	1080×1920	5.2	"Qualcomm Technologies, Inc MSM8976"	8	1800MHz	4096MB
vivo	Y31	5.0.2	540×960	4.7	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1024MB
vivo	Y53	6.0.1	540×960	5	: ARMv7 Processor rev 4 (v7l)	4	1400MHz	2048MB
vivo	X5Pro D	5	1080×1920	5.2	MT6752	8	1700MHz	3072MB
vivo	Y923	4.4.4	480×854	4.5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1024MB
vivo	Y22iL	4.4.2	480×854	4.5	MT6582	4	1300MHz	1024MB
vivo	Xplay5S	6	1440×2560	5.5	"Qualcomm Technologies, Inc MSM8996"	4	1600MHz	4096MB
vivo	X5Max L	4.4.4	1080×1920	5.5	: ARMv7 Processor rev 1 (v7l)	8	1700MHz	2048MB
vivo	X7Plus	5.1.1	1080×1920	5.7	"Qualcomm Technologies, Inc MSM8976"	8	1800MHz	4096MB
小辣椒	4A	7.1.1	720×1280	5	"Qualcomm Technologies, Inc MSM8917"	4	1400MHz	2048MB
小米	MI 4S	5.1.1	1080×1920	5	"Qualcomm Technologies, Inc MSM8992"	6	1400MHz	3072MB
小米	HM 2LTE CU	5.1.1	720×1280	4.7	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1024MB
小米	MIX	7	1080×2040	6.4	"Qualcomm Technologies, Inc MSM8996pro"	4	2300MHz	4096MB
小米	MI 5C	7.1.2	1080×1920	5.15	-	8	2200MHz	3072MB
小米	MI 5	6	1080×1920	5.15	"Qualcomm Technologies, Inc MSM8996"	4	1800MHz	3072MB
小米	Redmi Pro	6	1080×1920	5.5	: AArch64 Processor rev 4 (aarch64)	10	2100MHz	3072MB
小米	MI 4C	7	1080×1920	5	"Qualcomm Technologies, Inc MSM8992"	6	1800MHz	2048MB
小米	MI 3	4.4.4	1080×1920	5	pisces	4	1800MHz	2048MB
小米	HM 2A	4.4.4	720×1280	4.7	: ARMv7 Processor rev 5 (v7l)	5	1500MHz	1024MB
小米	MI MAX 2	7.1.1	1080×1920	6.44	"Qualcomm Technologies, Inc MSM8953"	8	2000MHz	4096MB
