Brand	Model	SystemVersion	Resolution	Screen	CPU	CPU Core Count	CpuMHZ	RAM
三星	SM-N9006	4.4.2	1080×1920	5.7	Qualcomm MSM 8974 (Flattened Device Tree)	4	2300MHz	3072MB
三星	SM-G900H	4.4.2	1080×1920	5.1	: ARMv7 Processor rev 3 (v7l)	8	2500MHz	2048MB
三星	SCH-I939D	4.3	720×1280	4.8	SMDK4x12	4	1400MHz	1024MB
三星	SM-G5108Q	4.4.4	540×960	4.8	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1024MB
三星	SM-G7509	4.4.4	720×1280	6	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	2048MB
三星	SM-G9006V	4.4.2	1080×1920	5.1	Qualcomm MSM 8974 (Flattened Device Tree)	4	2500MHz	2048MB
三星	GT-I9300	4.3	720×1280	4.8	SMDK4x12	4	1400MHz	1024MB
三星	GT-I8552	4.1.2	480×800	4.7	QRD MSM8625Q SKUD	4	1200MHz	1024MB
三星	SM-E7000	4.4.4	720×1280	5.5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	2048MB
三星	SM-G7508Q	4.4.4	720×1280	6	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	2048MB
三星	SM-E7009	4.4.4	1280×720	5.5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	2048MB
三星	SCH-I939I	4.3	720×1280	4.8	Qualcomm MSM 8226 (Flattened Device Tree)	4	1400MHz	1536MB
三星	GT-I9300I	4.3	720×1280	4.8	Qualcomm MSM 8226 (Flattened Device Tree)	4	1400MHz	1536MB
三星	SM-G5306W	4.4.4	540×960	5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1024MB
三星	GT-N7100	4.3	720×1280	5.5	SMDK4x12	4	1600MHz	2048MB
三星	SCH-I535	4.4.2	720×1280	4.8	SAMSUNG M2_VZW	2	1500MHz	2048MB
三星	GT-I9308	4.3	720×1280	4.8	SMDK4x12	4	1400MHz	1024MB
锤子	YQ603	5.1.1	1080×1920	5.5	: ARMv7 Processor rev 1 (v7l)	8	1500MHz	2048MB
索尼	L39h	4.3	1080×1920	5	Qualcomm MSM 8974 (Flattened Device Tree)	4	2200MHz	2048MB
索尼	L50t	4.4.2	1080×1920	5.2	Qualcomm MSM 8974 (Flattened Device Tree)	4	2300MHz	3072MB
TCL	TCL M2U	4.4.4	720×1280	5.5	MT6752	8	1500MHz	2048MB
TCL	J738M	4.3	480×854	5	Qualcomm MSM 8226 (Flattened Device Tree)	4	1200MHz	1024MB
TCL	S838M	4.3	720×1280	5	Qualcomm MSM 8226 (Flattened Device Tree)	4	1200MHz	1024MB
TCL	P318L	4.4.4	480×854	5	: ARMv7 Processor rev 5 (v7l)	4	1100MHz	1024MB
中兴	G720T	4.4.4	1080×1920	5	: ARMv7 Processor rev 1 (v7l)	8	1500MHz	2048MB
中兴	N958St	4.4.4	720×1280	5.5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	2048MB
中兴	G718C	4.4.2	720×1280	5	Qualcomm MSM8926	4	1200MHz	2048MB
中兴	G719C	4.4.4	1280×720	5.5	: ARMv7 Processor rev 1 (v7l)	8	1500MHz	2048MB
中兴	U960e	4.0.4	720×1280	4.5	MT6577	2	1200MHz	1024MB
中兴	N5	4.1.2	720×1280	5.7	QCT APQ8064 MTP	4	1500MHz	2048MB
金立	GN715	4.4.2	720×1280	5	Qualcomm MSM8926	4	1200MHz	1024MB
金立	F301	4.4.4	720×1280	4.7	MT6752	4	1500MHz	1024MB
金立	X817	4.2.1	720×1280	5.7	MT6589	4	1500MHz	1024MB
金立	V188	4.4.2	720×1280	5	MT6582	4	1300MHz	1024MB
金立	GN9000L	4.3	1080×1920	5	Qualcomm MSM8928	4	1600MHz	2048MB
金立	GN709L	4.3	720×1280	5	Qualcomm MSM 8226 (Flattened Device Tree)	4	1400MHz	2048MB
ivvi	K5	6	1080×1920	5.5	: AArch64 Processor rev 2 (aarch64)	8	1500MHz	4096MB
天语	Nibiru H1	4.4.2	1080×1920	5	MT6592	8	1700MHz	2048MB
努比亚	NX507J	4.4.2	1080×1920	5	Qualcomm MSM8974PRO-AA	4	2000MHz	2048MB
努比亚	NX403A	4.4.2	720×1280	4.7	nubia	4	1700MHz	2048MB
OPPO	R8207	4.4.4	720×1280	5	: ARMv7 Processor rev 1 (v7l)	8	1500MHz	2048MB
vivo	X5L	4.4.2	720×1280	5	MT6592	8	1700MHz	2048MB
vivo	X3V	4.4.2	720×1280	5	Qualcomm MSM8926	4	1200MHz	2048MB
vivo	Y927	4.4.4	720×1280	4.7	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1024MB
vivo	X3L	4.3	720×1280	5	Qualcomm MSM 8226 (Flattened Device Tree)	4	1200MHz	2048MB
vivo	Y29L	4.4.4	720×1280	5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1024MB
vivo	Y28L	4.4.4	540×960	4.7	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1024MB
vivo	Xplay3S	4.3	1440×2560	6	Qualcomm MSM 8974 (Flattened Device Tree)	4	2300MHz	3072MB
vivo	X5S L	4.4.4	720×1280	5	MT6752	8	1500MHz	2048MB
vivo	X5V	4.4.4	720×1280	5	: ARMv7 Processor rev 1 (v7l)	8	1500MHz	2048MB
vivo	X5Max	4.4.4	1080×1920	5.5	MT6752	8	1700MHz	2048MB
vivo	Y18L	4.3	720×1280	4.7	Qualcomm MSM 8226 (Flattened Device Tree)	4	1200MHz	1024MB
小辣椒	LA-S3	4.4.4	720×1280	5	MT6735P	4	1000MHz	2048MB
小辣椒	LA2-S	4.4.4	720×1280	5	PXA1908	4	1200MHz	1024MB
小米	HM 1W	4.4.2	720×1280	4.7	MT6589	4	1500MHz	1024MB
小米	MI 4LTE CMCC	4.4.4	1080×1920	5	Qualcomm MSM8974PRO-AC	4	2500MHz	2048MB
小米	MI 2	4.4.4	720×1280	4.3	MI 2	4	1500MHz	2048MB
小米	MI 3W	4.4.4	1080×1920	5	Qualcomm MSM8974PRO-AB	4	2300MHz	2048MB
小米	HM 1SC	4.4.4	720×1280	4.7	Qualcomm MSM 8226 (Flattened Device Tree)	4	1600MHz	1024MB
小米	HM NOTE 1S ct	4.4.4	720×1280	5.5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1024MB
青橙	GO JL628	5.1	1080×1920	5.5	MT6753	8	1500MHz	2048MB
HTC	D10w	6	1080×1920	5.5	: AArch64 Processor rev 2 (aarch64)	8	2000MHz	4096MB
华为	CHE-TL00	5.0.2	720×1280	5.5	hi6210sft	8	1500MHz	1024MB
华为	LON-AL00	7	1440×2560	5.5	-	8	2400MHz	4096MB
华为	VKY-AL00	7	1440×2560	5.5	-	8	2400MHz	6144MB
华为	SLA-AL00	7	720×1280	5	: ARMv7 Processor rev 4 (v7l)	4	1400MHz	2048MB
华为	NXT-CL00	7	1080×1920	6	-	8	2300MHz	3072MB
华为	Y635-CL00	4.4.4	480×854	5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1024MB
